dia,meses,anos,ultimo,abertura,maxima,minima,vol,var
2,4,2013,15.36,15.72,15.80,15.36,20400000,"-1,92"
1,4,2013,15.66,15.86,15.95,15.66,15480000,"-1,69"
28,3,2013,15.93,15.98,16.08,15.81,15650000,"-0,38"
27,3,2013,15.99,16.14,16.15,15.93,13170000,"-0,87"
26,3,2013,16.13,16.26,16.39,16.04,15690000,"-0,25"
25,3,2013,16.17,16.26,16.33,15.99,23990000,"0,00"
22,3,2013,16.17,16.10,16.24,16.02,16090000,"0,56"
21,3,2013,16.08,16.25,16.37,16.08,21770000,"-1,71"
20,3,2013,16.36,16.53,16.63,16.21,27580000,"-1,33"
19,3,2013,16.58,16.62,16.77,16.34,33740000,"-0,48"
18,3,2013,16.66,16.40,16.79,16.35,40220000,"0,54"
15,3,2013,16.57,16.84,16.97,16.50,43320000,"-1,49"
14,3,2013,16.82,16.47,16.82,16.14,26900000,"3,32"
13,3,2013,16.28,16.33,16.66,16.27,31560000,"0,06"
12,3,2013,16.27,16.36,16.61,16.17,26090000,"-0,97"
11,3,2013,16.43,15.87,16.46,15.55,24800000,"3,07"
8,3,2013,15.94,16.31,16.77,15.76,30490000,"-3,10"
7,3,2013,16.45,15.89,16.99,15.89,62300000,"4,98"
6,3,2013,15.67,15.28,15.86,14.95,73800000,"9,05"
5,3,2013,14.37,14.43,14.55,14.29,31500000,"0,35"
4,3,2013,14.32,14.60,14.84,14.32,34950000,"-2,39"
1,3,2013,14.67,14.32,14.77,14.23,31360000,"1,73"
28,2,2013,14.42,14.55,14.62,14.36,27500000,"-1,17"
27,2,2013,14.59,14.57,14.74,14.44,28490000,"0,41"
26,2,2013,14.53,14.56,14.63,14.35,33230000,"-1,22"
25,2,2013,14.71,14.80,14.84,14.62,30180000,"-1,21"
22,2,2013,14.89,15.20,15.20,14.76,30690000,"-0,93"
21,2,2013,15.03,15.16,15.25,14.93,30120000,"-1,70"
20,2,2013,15.29,15.71,15.71,15.27,25790000,"-2,67"
19,2,2013,15.71,15.54,15.78,15.53,28320000,"1,09"
18,2,2013,15.54,15.31,15.54,15.21,20090000,"1,57"
15,2,2013,15.30,15.28,15.44,15.21,24690000,"-0,26"
14,2,2013,15.34,15.44,15.54,15.26,25680000,"-0,71"
13,2,2013,15.45,15.58,15.62,15.39,21990000,"0,32"
8,2,2013,15.40,15.23,15.40,15.08,30630000,"1,38"
7,2,2013,15.19,15.41,15.61,15.03,36510000,"-0,59"
6,2,2013,15.28,15.56,15.62,15.21,30570000,"-2,61"
5,2,2013,15.69,15.00,15.87,14.98,76980000,"0,45"
4,2,2013,15.62,15.76,15.93,15.53,31820000,"-2,50"
1,2,2013,16.02,15.74,16.19,15.73,27870000,"2,10"
31,1,2013,15.69,15.85,15.91,15.54,32740000,"-0,70"
30,1,2013,15.80,16.48,16.48,15.77,66350000,"-4,76"
29,1,2013,16.59,16.79,16.81,16.35,26800000,"-1,31"
28,1,2013,16.81,17.12,17.19,16.75,19910000,"-1,23"
24,1,2013,17.02,16.81,17.12,16.81,19200000,"0,29"
23,1,2013,16.97,16.92,17.04,16.86,16920000,"-0,12"
22,1,2013,16.99,16.86,16.99,16.69,23380000,"0,95"
21,1,2013,16.83,16.99,17.01,16.73,17820000,"-0,94"
18,1,2013,16.99,17.19,17.26,16.99,18420000,"-0,70"
17,1,2013,17.11,17.24,17.30,17.09,18870000,"-0,64"
16,1,2013,17.22,17.26,17.26,17.01,16410000,"0,12"
15,1,2013,17.20,17.45,17.49,17.17,29460000,"-0,17"
14,1,2013,17.23,17.37,17.57,17.15,27390000,"-0,12"
