dia,meses,anos,ultimo,abertura,maxima,minima,vol,var
1,12,2020,81.25,79.63,81.50,79.25,61440000,4.17
30,11,2020,78.00,78.86,79.36,77.13,48590000,-0.56
27,11,2020,78.44,77.02,78.72,76.81,48970000,2.44
26,11,2020,76.57,75.45,76.59,75.45,20360000,1.42
25,11,2020,75.50,73.64,75.90,73.64,36270000,0.94
24,11,2020,74.80,71.09,74.89,70.18,49910000,4.92
23,11,2020,71.29,68.86,71.32,68.55,38620000,4.16
20,11,2020,68.44,67.94,68.44,67.46,23060000,1.06
19,11,2020,67.72,66.75,67.72,66.50,24640000,1.91
18,11,2020,66.45,66.99,67.36,66.10,21200000,-0.78
17,11,2020,66.97,64.80,68.10,64.80,62050000,3.16
16,11,2020,64.92,63.51,65.27,62.98,89820000,2.64
13,11,2020,63.25,62.79,63.54,62.63,23960000,0.93
12,11,2020,62.67,63.56,63.76,62.46,23090000,-1.46
11,11,2020,63.60,63.18,63.91,63.00,24720000,0.70
10,11,2020,63.16,63.26,63.58,62.70,53040000,-0.05
9,11,2020,63.19,64.15,64.24,62.88,37730000,0.00
6,11,2020,63.19,62.42,63.93,62.37,26400000,1.02
5,11,2020,62.55,62.31,63.06,61.46,25560000,1.58
4,11,2020,61.58,63.11,63.19,61.47,27930000,-2.78
3,11,2020,63.34,61.90,63.34,61.22,30800000,4.61
30,10,2020,60.55,61.79,62.40,60.02,26130000,-2.37
29,10,2020,62.02,60.72,62.23,59.79,37770000,2.92
28,10,2020,60.26,61.89,62.05,60.26,22890000,-3.63
27,10,2020,62.53,62.57,62.90,62.06,17960000,0.05
26,10,2020,62.50,62.86,63.45,62.02,17680000,-1.50
23,10,2020,63.45,62.62,63.87,62.23,23990000,0.55
22,10,2020,63.10,63.04,63.49,62.44,31600000,0.40
21,10,2020,62.85,61.65,63.21,61.60,20820000,1.63
20,10,2020,61.84,61.75,62.29,61.39,24990000,-0.18
19,10,2020,61.95,62.66,63.13,61.95,28370000,-0.47
16,10,2020,62.24,62.70,63.09,62.24,15640000,-0.37
15,10,2020,62.47,62.42,62.86,62.13,16250000,-0.84
14,10,2020,63.00,62.17,63.29,62.05,21540000,1.38
13,10,2020,62.14,61.28,62.61,61.03,18440000,0.88
9,10,2020,61.60,61.72,61.94,60.85,20840000,0.51
8,10,2020,61.29,60.33,61.49,60.08,22080000,1.86
7,10,2020,60.17,59.14,60.74,58.99,24580000,2.64
6,10,2020,58.62,60.04,60.26,58.21,21780000,-1.63
5,10,2020,59.59,58.90,59.83,58.81,17660000,2.18
2,10,2020,58.32,58.58,59.44,58.12,22950000,-0.92
1,10,2020,58.86,59.53,59.80,58.02,22600000,-0.42
30,9,2020,59.11,59.27,60.27,58.78,25070000,1.30
29,9,2020,58.35,58.73,59.96,58.35,26070000,-0.73
28,9,2020,58.78,59.94,60.23,58.75,29690000,-0.79
25,9,2020,59.25,58.33,59.45,58.23,26560000,1.01
24,9,2020,58.66,59.65,59.75,58.44,30570000,-0.74
23,9,2020,59.10,57.67,59.60,57.08,35420000,2.23
22,9,2020,57.81,58.05,58.27,57.15,23210000,-3.65
21,9,2020,60.00,61.05,61.37,59.45,52570000,-2.69
18,9,2020,61.66,62.28,63.08,61.66,29010000,-0.68
17,9,2020,62.08,60.37,62.40,60.12,30730000,1.82
16,9,2020,60.97,62.32,62.47,60.66,27170000,-2.60
15,9,2020,62.60,62.71,63.64,62.15,32510000,1.11
14,9,2020,61.91,62.81,63.34,61.38,35530000,-0.06
11,9,2020,61.95,60.05,62.27,59.87,45270000,5.84
10,9,2020,58.53,60.00,60.20,58.33,18530000,-2.45
9,9,2020,60.00,59.90,60.31,59.37,16390000,1.23
8,9,2020,59.27,59.57,59.74,58.91,14390000,-2.02
4,9,2020,60.49,59.65,60.49,58.70,23630000,1.97
3,9,2020,59.32,59.96,60.53,58.85,35470000,-3.26
2,9,2020,61.32,61.90,62.33,60.32,21010000,-0.71
1,9,2020,61.76,60.30,61.76,60.22,23860000,3.49
31,8,2020,59.68,61.09,61.14,59.68,21590000,-2.32
28,8,2020,61.10,61.18,61.69,60.64,14730000,0.51
27,8,2020,60.79,61.69,62.17,60.38,17010000,-1.55
26,8,2020,61.75,61.66,62.35,61.24,23540000,0.21
25,8,2020,61.62,62.80,62.80,61.15,23330000,-2.13
24,8,2020,62.96,62.92,63.10,62.41,17580000,1.22
21,8,2020,62.20,62.41,62.78,61.54,27160000,-1.19
20,8,2020,62.95,61.82,63.49,61.75,25690000,0.90
19,8,2020,62.39,63.44,63.87,62.34,22580000,-1.06
18,8,2020,63.06,63.30,63.70,62.87,30630000,1.33
17,8,2020,62.23,61.78,62.56,61.15,40750000,1.43
14,8,2020,61.35,60.35,61.41,60.35,17040000,1.66
13,8,2020,60.35,61.41,62.13,60.12,24760000,-1.87
12,8,2020,61.50,60.88,62.27,60.66,28820000,2.02
11,8,2020,60.28,62.79,62.80,60.16,22930000,-3.09
10,8,2020,62.20,60.70,62.20,60.41,28760000,2.89
7,8,2020,60.45,61.30,61.36,59.79,28320000,-2.23
6,8,2020,61.83,62.66,62.85,61.30,21670000,-0.58
5,8,2020,62.19,61.90,62.90,61.89,35600000,2.45
4,8,2020,60.70,60.30,60.84,59.38,181250000,0.73
3,8,2020,60.26,61.88,62.67,60.26,33160000,-0.74
31,7,2020,60.71,61.45,62.20,60.54,22370000,-0.91
30,7,2020,61.27,62.30,62.33,60.68,31170000,-2.67
29,7,2020,62.95,61.22,62.95,60.86,27680000,4.33
28,7,2020,60.34,60.66,61.15,60.20,20080000,-1.68
27,7,2020,61.37,59.12,61.61,58.99,34980000,4.73
24,7,2020,58.60,58.57,58.85,57.82,22430000,-0.42
23,7,2020,58.85,59.90,60.16,58.64,17130000,-0.66
22,7,2020,59.24,59.93,60.25,58.80,19550000,-0.77
21,7,2020,59.70,60.44,60.48,59.27,28920000,-1.81
20,7,2020,60.80,61.12,61.49,60.35,16380000,-0.39
17,7,2020,61.04,60.50,61.25,60.32,18820000,1.53
16,7,2020,60.12,61.30,61.69,59.85,22590000,-2.70
15,7,2020,61.79,62.30,62.93,60.39,29780000,0.15
14,7,2020,61.70,57.92,61.97,57.90,51950000,7.03
13,7,2020,57.65,57.73,59.22,57.65,28530000,1.19
10,7,2020,56.97,56.52,57.30,56.16,14670000,0.97
9,7,2020,56.42,57.52,57.68,56.06,19620000,-1.57
8,7,2020,57.32,56.90,57.72,55.79,32550000,1.69
7,7,2020,56.37,56.74,56.98,56.10,13460000,-0.35
6,7,2020,56.57,56.09,56.74,55.59,23550000,2.37
3,7,2020,55.26,55.20,55.70,54.93,7760000,-0.41
2,7,2020,55.49,54.85,55.74,54.75,23990000,1.74
1,7,2020,54.54,56.08,56.08,54.05,28820000,-2.47
30,6,2020,55.92,55.44,56.54,55.01,27400000,0.52
29,6,2020,55.63,55.44,55.91,54.84,15200000,0.02
26,6,2020,55.62,55.90,56.95,55.21,21490000,-0.68
25,6,2020,56.00,55.50,56.15,54.87,16880000,1.10
24,6,2020,55.39,56.25,56.26,54.82,18070000,-0.36
23,6,2020,55.59,55.53,56.56,55.37,18160000,1.07
22,6,2020,55.00,55.00,55.35,54.43,14790000,-0.31
19,6,2020,55.17,56.33,56.60,54.71,37860000,-1.78
18,6,2020,56.17,56.30,56.54,55.61,25690000,-0.05
17,6,2020,56.20,55.49,56.44,55.15,27570000,1.46
16,6,2020,55.39,55.49,55.50,54.22,29170000,2.80
15,6,2020,53.88,52.50,54.43,52.13,27320000,0.90
12,6,2020,53.40,53.71,54.05,51.98,31180000,-1.48
10,6,2020,54.20,54.91,55.20,53.76,24190000,-1.44
9,6,2020,54.99,54.16,54.99,54.12,19610000,0.38
8,6,2020,54.78,54.98,55.65,53.98,27190000,0.31
5,6,2020,54.61,56.39,56.70,54.34,39640000,-1.89
4,6,2020,55.66,53.72,55.70,53.52,37380000,3.73
2,6,2020,53.42,53.80,53.80,53.00,25420000,0.00
1,6,2020,53.42,52.82,53.85,52.50,27010000,0.79
29,5,2020,53.00,51.40,53.00,51.06,92240000,5.81
28,5,2020,50.09,51.00,51.65,50.05,23340000,-1.09
27,5,2020,50.64,49.84,50.83,48.78,31740000,2.93
26,5,2020,49.20,50.38,50.52,48.84,28760000,-1.80
25,5,2020,50.10,51.41,51.68,49.92,21010000,-0.34
22,5,2020,50.27,50.77,51.10,49.90,23410000,-1.68
21,5,2020,51.13,52.29,52.66,50.37,41720000,-2.61
20,5,2020,52.50,53.37,53.67,52.50,26910000,0.11
19,5,2020,52.44,51.30,52.71,51.09,27610000,2.30
18,5,2020,51.26,50.34,51.60,49.95,41830000,6.68
15,5,2020,48.05,48.69,49.30,48.05,34990000,-0.08
14,5,2020,48.09,47.95,48.46,46.94,35390000,-0.93
13,5,2020,48.54,48.17,49.18,47.66,34010000,2.28
12,5,2020,47.46,48.43,48.60,47.46,21620000,-0.57
11,5,2020,47.73,48.21,49.25,47.73,24620000,-2.29
8,5,2020,48.85,47.50,48.96,46.97,33800000,6.08
7,5,2020,46.05,45.63,46.98,45.45,42050000,3.88
6,5,2020,44.33,44.19,44.76,43.61,26490000,1.44
5,5,2020,43.70,44.45,45.03,43.70,18960000,-0.52
4,5,2020,43.93,43.70,44.33,43.40,16870000,-2.07
30,4,2020,44.86,45.71,46.17,44.76,25390000,-4.00
29,4,2020,46.73,45.35,47.38,44.84,32980000,4.75
28,4,2020,44.61,45.20,45.29,43.48,25470000,0.13
27,4,2020,44.55,44.46,45.05,43.86,25420000,1.81
24,4,2020,43.76,43.37,44.20,41.83,54900000,0.57
23,4,2020,43.51,43.29,44.69,42.81,26980000,1.42
22,4,2020,42.90,42.60,43.24,42.05,22530000,1.04
20,4,2020,42.46,43.26,43.26,42.23,28900000,-3.50
17,4,2020,44.00,43.90,44.23,43.22,23530000,2.90
16,4,2020,42.76,43.80,43.99,42.04,24260000,-1.00
15,4,2020,43.19,43.50,43.90,42.61,28690000,-3.01
14,4,2020,44.53,45.62,46.00,44.50,24640000,-0.09
13,4,2020,44.57,43.20,44.57,42.98,21950000,2.98
9,4,2020,43.28,43.95,44.47,42.84,29800000,-0.53
8,4,2020,43.51,43.50,44.25,43.05,29330000,-0.62
7,4,2020,43.78,45.19,45.50,43.56,34060000,1.51
6,4,2020,43.13,42.60,43.39,41.97,31840000,6.49
3,4,2020,40.50,42.80,42.87,39.76,31540000,-5.33
2,4,2020,42.78,43.95,44.57,41.92,34270000,-1.36
1,4,2020,43.37,41.81,44.12,41.20,37020000,0.35
31,3,2020,43.22,42.30,44.49,42.22,39030000,3.47
30,3,2020,41.77,40.92,42.32,40.74,31190000,4.16
27,3,2020,40.10,39.30,41.44,39.20,32160000,-4.52
26,3,2020,42.00,41.01,42.41,39.99,35390000,2.82
25,3,2020,40.85,38.19,41.35,38.09,37930000,8.53
24,3,2020,37.64,36.86,38.65,36.86,36950000,10.38
23,3,2020,34.10,35.55,35.86,33.37,41740000,-3.10
20,3,2020,35.19,37.90,39.41,34.71,50200000,-3.32
19,3,2020,36.40,37.50,39.00,35.26,52140000,-5.82
18,3,2020,38.65,38.80,40.87,35.70,59550000,-6.89
17,3,2020,41.51,40.50,43.57,39.11,52590000,6.33
16,3,2020,39.04,36.01,41.40,36.01,58830000,-9.00
13,3,2020,42.90,42.00,44.03,37.00,67250000,21.36
12,3,2020,35.35,36.00,36.00,32.45,61990000,-13.23
11,3,2020,40.74,43.01,44.29,39.00,49610000,-9.08
10,3,2020,44.81,41.90,45.34,40.80,62970000,18.45
9,3,2020,37.83,40.45,41.54,37.81,58880000,-15.20
6,3,2020,44.61,44.20,45.82,43.65,39720000,-4.78
5,3,2020,46.85,47.66,47.95,45.95,29090000,-3.54
4,3,2020,48.57,48.00,49.09,47.00,31480000,4.79
3,3,2020,46.35,46.74,49.09,46.07,52400000,-0.02
2,3,2020,46.36,44.88,47.09,44.81,48370000,4.63
28,2,2020,44.31,43.99,44.31,43.20,33230000,-0.36
27,2,2020,44.47,44.65,45.54,43.56,42420000,-1.94
26,2,2020,45.35,46.66,46.84,45.06,46920000,-9.54
21,2,2020,50.13,51.00,51.14,49.80,32250000,-3.97
20,2,2020,52.20,53.27,53.49,52.06,18820000,-1.16
19,2,2020,52.81,52.93,53.12,52.40,14440000,0.02
18,2,2020,52.80,52.55,53.05,52.12,18050000,-1.14
17,2,2020,53.41,51.71,53.41,51.62,28130000,4.73
14,2,2020,51.00,52.21,52.28,50.95,19900000,-2.19
13,2,2020,52.14,52.22,52.40,51.56,20110000,-1.75
12,2,2020,53.07,53.10,53.38,52.83,28540000,1.96
11,2,2020,52.05,51.15,52.20,51.02,27560000,3.71
10,2,2020,50.19,51.90,51.90,49.92,28240000,-3.67
7,2,2020,52.10,52.88,52.96,51.92,14450000,-2.21
6,2,2020,53.28,53.66,53.92,52.82,22160000,0.55
5,2,2020,52.99,53.32,53.62,52.99,26800000,1.38
4,2,2020,52.27,52.20,52.58,51.97,21560000,2.67
3,2,2020,50.91,50.50,51.09,49.80,18860000,1.27
31,1,2020,50.27,50.96,51.06,49.80,29990000,-2.39
30,1,2020,51.50,49.97,51.50,49.80,23080000,1.48
29,1,2020,50.75,51.70,51.89,50.46,23320000,-0.88
28,1,2020,51.20,51.20,52.09,51.08,23050000,1.37
27,1,2020,50.51,51.66,51.82,50.48,38780000,-6.12
24,1,2020,53.80,55.62,55.73,53.69,19740000,-3.06
23,1,2020,55.50,55.43,55.73,54.71,23030000,-1.42
22,1,2020,56.30,56.60,56.85,56.06,17270000,0.48
21,1,2020,56.03,56.80,57.01,55.74,25440000,-2.32
20,1,2020,57.36,57.00,57.36,56.53,16750000,0.63
17,1,2020,57.00,56.25,57.09,56.10,36520000,3.32
16,1,2020,55.17,55.60,55.95,55.10,13150000,-0.52
15,1,2020,55.46,55.30,56.08,55.11,21430000,-0.32
14,1,2020,55.64,55.30,56.35,55.00,27820000,0.61
13,1,2020,55.30,53.64,55.64,53.51,27500000,3.64
10,1,2020,53.36,53.75,53.87,53.11,9130000,0.11
9,1,2020,53.30,53.75,53.87,53.05,14640000,-1.31
8,1,2020,54.01,54.20,54.37,53.62,15300000,0.02
7,1,2020,54.00,53.50,54.19,53.40,16330000,0.73
6,1,2020,53.61,53.80,53.80,53.15,32790000,-0.59
3,1,2020,53.93,53.68,54.50,53.58,17280000,-0.74
2,1,2020,54.33,53.98,54.44,53.75,17510000,1.93
30,12,2019,53.30,53.65,53.86,53.20,11930000,-0.56
27,12,2019,53.60,53.99,54.00,53.42,13920000,0.41
